#                  name    selected    formation_energy
    SCEL7_7_1_1_0_0_6/15          1         -0.00565537
    SCEL7_7_1_1_0_2_4/0           1         -0.05470003
    SCEL7_7_1_1_0_2_4/1           1         -0.08960033
    SCEL7_7_1_1_0_2_4/2           1         -0.08519002
    SCEL7_7_1_1_0_2_4/3           1         -0.07743758
    SCEL7_7_1_1_0_2_4/4           1         -0.08566289
    SCEL7_7_1_1_0_2_4/5           1         -0.07770434
    SCEL7_7_1_1_0_2_4/6           1         -0.06470057
    SCEL7_7_1_1_0_2_4/7           1         -0.07449110
    SCEL7_7_1_1_0_2_4/8           1         -0.11422595
    SCEL7_7_1_1_0_2_4/9           1         -0.06337176
    SCEL7_7_1_1_0_2_4/10          1         -0.03073100
    SCEL7_7_1_1_0_2_4/11          1         -0.03717537
    SCEL7_7_1_1_0_2_4/12          1         -0.10602415
    SCEL7_7_1_1_0_2_4/13          1         -0.07597234
    SCEL7_7_1_1_0_2_4/14          1         -0.03085190
    SCEL7_7_1_1_0_2_4/15          1         -0.02770341
    SCEL7_7_1_1_0_3_5/0           1         -0.07477186
    SCEL7_7_1_1_0_3_5/1           1         -0.10604293
    SCEL7_7_1_1_0_3_5/2           1         -0.10062522
    SCEL7_7_1_1_0_3_5/3           1         -0.09637300
    SCEL7_7_1_1_0_3_5/4           1         -0.07000831
    SCEL7_7_1_1_0_3_5/5           1         -0.04534488
    SCEL7_7_1_1_0_3_5/6           1         -0.02123050
    SCEL7_7_1_1_0_3_5/7           1         0.00204934
    SCEL7_7_1_1_0_3_6/0           1         -0.06701788
    SCEL7_7_1_1_0_3_6/1           1         -0.04840294
    SCEL7_7_1_1_0_3_6/2           1         -0.07325156
    SCEL7_7_1_1_0_3_6/3           1         -0.03107087
    SCEL7_7_1_1_0_3_6/4           1         -0.11529256
    SCEL7_7_1_1_0_3_6/5           1         -0.08346367
    SCEL7_7_1_1_0_3_6/6           1         -0.03778710
    SCEL7_7_1_1_0_3_6/7           1         -0.08594345
    SCEL7_7_1_1_0_3_6/8           1         -0.09051646
    SCEL7_7_1_1_0_3_6/9           1         -0.04196758
    SCEL7_7_1_1_0_3_6/10          1         -0.06390930
    SCEL7_7_1_1_0_3_6/11          1         -0.01891588
    SCEL7_7_1_1_0_3_6/12          1         -0.05218296
    SCEL7_7_1_1_0_3_6/13          1         -0.01764471
    SCEL7_7_1_1_0_3_6/14          1         -0.03332510
    SCEL7_7_1_1_0_3_6/15          1         -0.01016704
    SCEL7_7_1_1_0_6_4/0           1         -0.03620826
    SCEL7_7_1_1_0_6_4/1           1         -0.05344893
    SCEL7_7_1_1_0_6_4/2           1         -0.09587990
    SCEL7_7_1_1_0_6_4/3           1         -0.05270180
    SCEL7_7_1_1_0_6_4/4           1         -0.04050235
    SCEL7_7_1_1_0_6_4/5           1         -0.06219563
    SCEL7_7_1_1_0_6_4/6           1         -0.02802875
    SCEL7_7_1_1_0_6_4/7           1         -0.01990045
    SCEL7_7_1_1_0_6_4/8           1         -0.06229484
    SCEL7_7_1_1_0_6_4/9           1         -0.02293902
    SCEL7_7_1_1_0_6_4/10          1         -0.03215655
    SCEL7_7_1_1_0_6_4/11          1         -0.00606025
    SCEL7_7_1_1_0_6_4/12          1         -0.02313321
    SCEL7_7_1_1_0_6_4/13          1         0.00348562
    SCEL7_7_1_1_0_6_4/14          1         -0.01799160
    SCEL7_7_1_1_0_6_4/15          1         -0.00244211
    SCEL7_7_1_1_0_6_5/0           1         -0.04615331
    SCEL7_7_1_1_0_6_5/1           1         -0.04210956
    SCEL7_7_1_1_0_6_5/2           1         -0.09024852
    SCEL7_7_1_1_0_6_5/3           1         -0.06533806
    SCEL7_7_1_1_0_6_5/4           1         -0.05083849
    SCEL7_7_1_1_0_6_5/5           1         -0.04707488
    SCEL7_7_1_1_0_6_5/6           1         -0.03835136
    SCEL7_7_1_1_0_6_5/7           1         -0.02845490
    SCEL7_7_1_1_0_6_5/8           1         -0.08756203
    SCEL7_7_1_1_0_6_5/9           1         -0.04534741
    SCEL7_7_1_1_0_6_5/10          1         -0.01715127
    SCEL7_7_1_1_0_6_5/11          1         -0.03535166
